"id","name","location","address","tier_id","type_id","phone_number","state","type","products"
"88","The Excellence Hospital (Omots Medical Services Ltd)","Ikorordu","5, Alogba Street, Off Ibeshe Road, Opp. Voice Of Nigeria, Ebute, Ikorodu, Lagos.","3","1","09095341363, 08039552866","[object Object]","[object Object]","98,3012,97"
"89","The Shepherd Medical Centre","Ikeja","2, Salvation Road, Opebi Ikeja, Lagos","2","1","08033205852","[object Object]","[object Object]","3012"
"92","Abbey Medical Centre","","74, Idewu Street, Olodi-Apapa, Lagos.","4","1","08110532095","[object Object]","[object Object]","98,97,3012,96"
"93","Ademola Hospital And Maternity","","1, Omowale Street, Ijanikin, Lagos","4","1","09025807513, 08033360135","[object Object]","[object Object]","96,97,98,3012"
"94","All Soul's Hospital Ltd, Ajegunle","","255, Ojo Road,  Ajegunle Apapa, Lagos","4","1","07080778984,  08033142354, 08059898257","[object Object]","[object Object]","3012,97,96,98"
"95","All Souls Infirmary Hospital","","8,Church Street,Elere,Agege","4","1","09077442827, 08098877309, 08034962603","[object Object]","[object Object]","98,97,3012,96"
"98","Ayodele Medical Centre","","1, Ayodele close, off Jonathan Coker road, Fagba Junction, Iju-Agege, Lagos","4","1","08174622348, 08023006465","[object Object]","[object Object]","96,97,98,3012"
"99","Bee Hess Hospital","","155, Akowonjo road, Akowonjo, Lagos","4","1","07033877067","[object Object]","[object Object]","3012,97,96,98"
"100","Bestcare Hospital","","2A, KEFFI STREET, S/W IKOYI, LAGOS","4","1","07084111486","[object Object]","[object Object]","98,97,3012,96"
"101","Bidems Victory Hospital","","Simco Umemmekwu Street, Off Isawo Road, Agric, Ikorodu, Lagos.","4","1","0905 277 8759, 08023967025","[object Object]","[object Object]","96,97,98,3012"
"102","Blajeh Mustapha Hospital (Bmh)","","48, Foresythe Street, Lagos Island, Lagos.","4","1","08033073644, 08177108087","[object Object]","[object Object]","3012,97,96,98"
"103","Bose Specialist Hospital","","7, Ilori Street, Ire-Akari Estate, Isolo, Lagos.","4","1","+234 816 775 1375, 0802-314-3560","[object Object]","[object Object]","98,97,3012,96"
"105","Broad Hospital","","13, Fehintola St, Off Isijola St, NEPA B/Stop, Ikotun","4","1","08033290753, 08054640333","[object Object]","[object Object]","96,97,98,3012"
"106","Cavesbury Hospital And Healthcare Ltd","Alimosho","off abraham afolabi street , general bus-stop, abule-tailor, abulegba, Lagos.","3","1","08170046869, 08170046869","[object Object]","[object Object]","3012,97,98"
"109","County Hospital Ltd","Ikeja","41-45 Isheri Road, Ogba","4","1","07065178006, 08032219882, 08032431487, 08026811637","[object Object]","[object Object]","98,97,3012,96"
"110","Crest Hospital","Alimosho","159-161, Isuti Road, Oremeji b/stop, Egan, Lagos.","4","1","08033600955, 0903-0030095,  07059662261, 09044444422, 0.90","[object Object]","[object Object]","96,97,98,3012"
"111","Dako Medical Centre","APAPA","185 Muyibi Street, Olodi, Apapa by God dey cinema","4","1","08033075786","[object Object]","[object Object]","3012,97,96,98"
"112","Deji Clinic - Ketu","Ko","1] 5, Doyin Omololu Street, Off Mr Biggs junction, Oba-Nle Aro Bus Stop, Ketu Alapere.2] 56 Agbado rd Iju-Ishaga","4","1","07067131613, 08033072123,","[object Object]","[object Object]","98,97,3012,96"
"113","Delta Crown Hospital & Maternity Home","","14, Ajayi Street, Ketu, Lagos.","4","1","09091141739, 01-7744110, 08033352195, 08023844222","[object Object]","[object Object]","96,97,98,3012"
"115","Dialyzer Medical Centre","Oshodi-Isolo","60, Arowojobe street, Oshodi, Lagos","4","1","08108935658, 08023046830,","[object Object]","[object Object]","3012,97,96,98"
"116","El-Dunamis Medical Centre","Alimosho","17, KING SOLOMON STREET, ARAROMI BUS-STOP, OFF LASU- ISHERI, AKESAN, LAGOS","4","1","09024543941, +234 802 340 7834, 09095692156","[object Object]","[object Object]","98,97,3012,96"
"117","Elphy Specialist Hospital","","6, Taskforce Road,off PPL bus-stop ,Okokomaiko","4","1","090129790870, 08034538117, 07087640684, 08033439844","[object Object]","[object Object]","96,97,98,3012"
"118","Fanimed Hospital","","1,LILY  ROAD, LSDPC MEDIUM HOUSING ESTATE, PHASE IV, OBA OGUNJI ROAD,OGBA, IKEJA, LAGOS","4","1","08189606098, 08077818441, 07042464027","[object Object]","[object Object]","3012,97,96,98"
"119","Faramed  Clinics- Joju road","","37, Akinwunmi Street,  Joju Road, Sango Ota, Ogun State","4","1","07066907480","[object Object]","[object Object]","98,97,3012,96"
"120","Finnih Medical Centre","","42, Oduduwa Crescent, G.R.A, Ikeja","4","1","23414965613,  234 1 2712767","[object Object]","[object Object]","96,97,98,3012"
"122","AFolabi Vincent Memorial Hospital","","78 Oworo Road Oworonshoki","4","1","08109210100,  +234 1 433 3968,","[object Object]","[object Object]","3012,97,96,98"
"123","Glad Tidings Medical Centre","Ikeja","1, Amusa Aloa Street, (Old Church Street) Off Gbadamosi Opesa Street, Opeki b/stop, Ipaja, Lagos.","4","1","08026155457, +2349150422826","[object Object]","[object Object]","98,97,3012,96"
"124","Gloria Hospital Limited","","9, Oladeinde Street, Anthony Village, Lagos.","4","1","08032190732, 08035294510, 0802 309 3312, 09091073523","[object Object]","[object Object]","96,97,98,3012"
"127","Goodness Medical Centre","Ojo","151, Shibiri Road, Ajangbadi, Lagos","4","1","08039682077, + 234 803 346 7911, 09052124445, + 234 817 474 2043, + 234 908 458 5727","[object Object]","[object Object]","3012,97,96,98"
"129","Graceland Medical Centre","Ojo","Km 5, LASU-Isheri express road, Opposite Iba housing estate","4","1","08028347006","[object Object]","[object Object]","98,97,3012,96"
"130","Hamkad Hospital Nigeria Ltd.","Abule-Egba","39, Olawale-Cole street, U-turn Bus stop, Abule-Egba, Lagos","4","1","08181708836, 0803 330 1875, +2348085918048","[object Object]","[object Object]","96,97,98,3012"
"134","Heda Hospital","Oshodi-Isolo","2B, Nwabueze Close Off Princess Aina Jegede Close, Ajao Estate, Lagos.","3","1","08033270656","[object Object]","[object Object]","3012,97,98"
"135","Hetta Medical Centre","","15, Martina Road, Sango Ota, Ogun State","4","1","07085763636, 0803-473-8466, 07045667105 09024229579","[object Object]","[object Object]","98,97,3012,96"
"136","Hillstar Clinics Nig. Ltd","Mushin","98, Palm Avenue, Papa Ajao, Mushin, Lagos.","4","1","07088702931,  +234 8023076571, 07040546669","[object Object]","[object Object]","96,97,98,3012"
"139","Ikeja Medical Centre","Allen","11, Ogunmodede Street, Off Allen Avenue, Ikeja","2","1","08172921354, 08083126494,  08099726926","[object Object]","[object Object]","3012"
"141","J.A. Lashman Hospital","Ogba","10, Adedosu Street, Off Akilo Road, Off Oba Akran, Ogba, Lagos.","4","1","08155540091, 09031801567","[object Object]","[object Object]","3012,97,96,98"
"143","Jefis Specialist Hospital Ltd","Agege","9, Adegbola Street, Off Baale Animashaun Road, Alakuko, Lagos.","4","1","08166549802, 01-8791734, +2348043502483","[object Object]","[object Object]","98,97,3012,96"
"144","Jlt Specialist Clinic & Skin Centre","","1st floor , 213 igbosere road ,Lagos island","4","13","0808 026 9048","[object Object]","[object Object]","96,97,98,3012"
"145","Kaaf Medical Laboratory And Maternity Centre","","University of Lagos, Beside Medical Centre, Akoka, Lagos.","3","1","08179381229,  +234 809 111 5223","[object Object]","[object Object]","3012,97,98"
"147","Kiladejo Medical Centre","","15, PPL Road, Okokomaiko","4","1","08069445717, 08129458328,  +234 1 7744823, 08033150175","[object Object]","[object Object]","98,97,3012,96"
"148","Krown Hospital &Maternity Centre","Iyana-Ipaja","11,Alhaji Sekoni Street,off Alimosho road, Iyana-Ipaja","4","1","08177489393,  +23414920038,  08186655943","[object Object]","[object Object]","96,97,98,3012"
"150","Ladi-Lak Medical Centre","Ladi-lak,Barriga","53, Igi Olugbin Street, Bariga, Ladi-Lak Busstop","4","1","08181969123, 08036008908, 01-5821135, 08033485442","[object Object]","[object Object]","3012,97,96,98"
"151","Lex Medical Centre","","5, RALIAT ALABI STREET, IYANA MEIRAN, IJAIYE-OJOKORO, LAGOS","4","1","08131154321, 0803-307-1587","[object Object]","[object Object]","98,97,3012,96"
"152","Longing Medical Centre","","1, Josepha Close off Oguntana Ogundeji Street, by Ajala Bus-stop, Ijaye, Ojokoro, Lagos.","3","1","08081366069,","[object Object]","[object Object]","97,3012,98"
"153","Lota Medical Centre","Isheri-Olofin","salvation Street, Powerline Bus-stop, Ishri-Olofin, Lasu Rd, Lagos.","4","1","08174598513, 012900883, 01 794 5947, 8023152181, 07034879095, 08121344047","[object Object]","[object Object]","98,97,96,3012"
"159","Mercy Thomas Oredugba Medical And Dental Centre","","8, Mogaji Street, Ijeshatedo,  Surulere","4","1","08123933936, 01-8924812, 0802-314-2458,  01 402 9348","[object Object]","[object Object]","3012,97,98,96"
"161","Mucas Hospital Limited,","Dopemu","19, Ogun street, Adeale bus stop, Dopemu","4","1","08060123358, 0802 110 2727, 08028864228","[object Object]","[object Object]","96,97,3012,98"
"162","Nusamin Clinic And Hospital Limited","Surulere","34, Apena Street, Off Fashoro Street, Surulere, Lagos","4","1","08033011164, 08186704306, 0812 573 2546","[object Object]","[object Object]","98,97,96,3012"
"168","Osuntuyi Medical Centre, Iju","Ijumu ","255, Iju Rd., Balogun Bus Stop, Iju Ishaga, Agege","4","1","08029442931,  +234 1 891 4121","[object Object]","[object Object]","3012,97,98,96"
"169","Osuntuyi Medical Centre, Obanikoro","","9, Alh. Salisu Street, Obanikoro","4","1","08029442930, +234 1 891 4121, 0802 306 8439, 08029442931","[object Object]","[object Object]","96,97,3012,98"
"170","Petros Foundation Hospital","","20, Seinde Calisto str., off Mile 2-Oshodi Exp/Way, oshodi","4","1","08137556055, 0802-329-6237, 08055413749","[object Object]","[object Object]","98,97,96,3012"
"172","Promise Medical Centre - Dopemu","","132, Dopemu road, Dopemu Agege, Lagos","4","1","013425382, 0803-303-3281, 09083806956","[object Object]","[object Object]","3012,97,98,96"
"173","Rophe Medical Centre","","23, Anambra Crescent, Agbara Estate","3","1","09074370650, 0802 828 8888,   0805 300 3030","[object Object]","[object Object]","97,3012,98"
"175","Safeway Hospital And Maternity","","Km 46, Lekki-Epe Express way Sangotedo, Lagos","3","1","08077509043","[object Object]","[object Object]","98,97,3012"
"176","Samaria Hospital","Okota","17,Debo Bashorun Street off Ali Dada Street , Ago palace way ,Okota","4","1","08033088579, 08091693281, 07037804282, 08022511973","[object Object]","[object Object]","98,97,3012,96"
"178","Shirish Clinic","","Okoh crescent, powerline, off maltina road, beside jacob school, sango otta, Ogun state.","4","1","07083587469, 08121728536, 08066344249","[object Object]","[object Object]","96,97,98,3012"
"179","Smith Medical Centre","","No 8 Afric Road, Off Funsho Williams Avenue (Western Avenue), Olaleye Estate, Iponri, Surulere, Lagos","3","1","08035255939, 0818 701 6173, 07061690765","[object Object]","[object Object]","3012,97,98"
"180","St Raphael Hospital Ltd","Ojo","114, Lateef Adegboyega Street, Off Ago Okota Palace Way, Okota, Lagos","2","1","08033062357, 0813-847-4576, 0812-377-2066","[object Object]","[object Object]","3012"
"181","St. Louis Medical Centre","Apapa","1,Ado Avenue,Apapa","4","1","08159093845; MD: 08033125589. Billing officer:08096065932","[object Object]","[object Object]","98,97,3012,96"
"182","St. Luke's Hospital-LAGOS","Yaba","18, Commercial Avenue, Sabo - Yaba, Lagos.","2","1","08033229899","[object Object]","[object Object]","3012"
"183","St. Mary'S Specialist Hospital, Ojodu","Ojodu-Berger","458, Titilayo Adedoyin Street, Omole Phase 1","4","1","08121271616, 0806 166 6862","[object Object]","[object Object]","96,97,98,3012"
"184","St. Raphael Divine Mercy Specialist Hospital","","Along Ijede Road, Ikorodu Lagos State","3","1","08113986623,  08107117089, 0814 259 8685, +234 8155140646,","[object Object]","[object Object]","3012,97,98"
"185","Subol Hospital","Idimu","16/17, OBA AMUSA AVENUE, IDIMU, LAGOS","4","1","08140012802, 0803-344-5559, 08181264029, 08102974491","[object Object]","[object Object]","98,97,3012,96"
"187","Hopestone Healthcare","","530 Lateef Jakande Road, Agidingbi, Ikeja, Lagos.","3","1","08164667080, 07026038005, 012930107, 08034592908","[object Object]","[object Object]","97,3012,98"
"189","Topaz Clinic & Maternity","","12, Adeniji Str.,By Municipal Library, Surulere","4","1","09094526831","[object Object]","[object Object]","98,97,96,3012"
"190","Veta Hospitals Ltd","","1, Veta Close, Araromi B/Stop, Lagos-Abeokuta Exp., Iyana Ipaja","4","1","07035875528, 07017585852","[object Object]","[object Object]","3012,97,98,96"
"191","Victoria Memorial Clinic And Maternity - Lagos","Agbara","Behind Foursquare Gospel Church, Morogbo-Agbara, Lagos","4","1","08033352572, 08133284549","[object Object]","[object Object]","96,97,3012,98"
"196","Arubah Family Medical Centre","","9, Kudirat Salami Street, Agungi Lekki, Lagos.","2","1","09069060048","[object Object]","[object Object]","3012"
"197","Finesse Specialist Dental Clinics And Surgery","","Sterling bank building, Bamgbola house,109 Lagos- Abeokuta Express way, Adealu bus stop ,Iyana Ipaja Lagos.","3","3","09083414770, 08023933523","[object Object]","[object Object]","3012,98,97"
"198","Toothcom Dental Clinics","","PLOT 352, DURBAR ROAD, (NEAR SYNERGY HOTEL), AMUWO-ODOFIN, LAGOS.","3","3","08033261870","[object Object]","[object Object]","97,98,3012"
"200","Dental and Maxillofacial Surgery","","308, Lanre Awolokun, Gbagada phase 2, Lagos","3","3","08173635385, 08135419776","[object Object]","[object Object]","3012,98,97"
"202","Hygei Dental & Eye Clinic - Lekki","","3, Creek Road, Colonel's Estate, Bogije Town, Ibeju -Lekki, KM 32, Lekki-Epe Expressway, Lagos.","2","3","07087875255","[object Object]","[object Object]","3012"
"204","Aristoothcrat Dental Clinic","","25, Salvation road, Opebi,Ikeja","3","3","08168331738,","[object Object]","[object Object]","3012,97,98"
"206","Hygei Dental & Eye Clinic - Ikeja","","14, Sowemimo Street G.R.A. Ikeja","2","3","08085457553","[object Object]","[object Object]","3012"
"207","Faces 'N' Braces Dental Clinics","","Plot 15 Agodogba Drive, Park View Estate Extension, Off Gerrard Road, Ikoyi, Lagos. Nigeria","3","3","8160492320","[object Object]","[object Object]","3012,98,97"
"209","Richmond Dental Clinic","","26, Maitama Sule Street, off Raymond Njoku Street, SW Ikoyi","2","3","013427106,  012919931, 07031888415, 2348028517819","[object Object]","[object Object]","3012"
"210","Skky Dental","","27B, Lugard Avenue, Ikoyi, Lagos","2","3","07045506968","[object Object]","[object Object]","3012"
"211","Aire Dental Clinic - V/I","","25c, Kofo Abayomi Street, Victoria Island, Lagos.","3","3","02012930850","[object Object]","[object Object]","3012,97,98"
"214","First Consultant dental clinic - Isolo","","15, Osolo way (opp UBA PLC) off Int'l Airport Road, Ajao Estate","3","3","08029168196, 08166136151, 09080345899","[object Object]","[object Object]","98,97,3012"
"217","Aire Dental Clinic - Surulere","","30, Enitan Street, Aguda, Surulere, Lagos","3","3","02012930843","[object Object]","[object Object]","3012,97,98"
"219","Smiley Dental Care","","105, Akerele Road,Surulere","3","3","08058686555, 07032723808","[object Object]","[object Object]","98,97,3012"
"222","Beaconhill Smile Clinic - V/I","","4A, ADEOLA ODEKU STREET, VICTORIA ISLAND, LAGOS","3","3","08125215208","[object Object]","[object Object]","3012,97,98"
"223","Divine Dental Home- VICTORIA ISLAND","","8B, Fabac Close, Off Ligali Ayorinde Street, V/I","3","3","09098936699, 09166512350","[object Object]","[object Object]","98,97,3012"
"275","Wellpath Physiotherapy And Wellness Ltd - Lekki","","Dupe Oguntade Cresent. Orile Ilasan (World Oil Petrol Station) Lekki Epe Expressway, Lekki, Lagos, Nigeria","4","5","08160982667","[object Object]","[object Object]","96,97,98,3012"
"276","Wellpath Physiotherapy And Wellness Ltd - Ikoyi","","29 Ademola street, off Awolowo road  Ikoyi","4","5","0818 448 2119","[object Object]","[object Object]","3012,97,96,98"
"288","Paslim Gym","","Lagos Country Club, 2 Joel Ogunaike Street, Ikeja G.R.A., Lagos","4","8","09094631805","[object Object]","[object Object]","98,97,3012,96"
"303","Cronnet Eye Clinic","","299, Akin Olugbade Street, Victoria Island, Lagos.","3","4","07080740336, 01 342 8687","[object Object]","[object Object]","97,3012,98"
"304","Beracca Eye Clinic Ltd - Lekki","","Plot 6, T.F. Kuboye Road, Oniru, Lekki Phase 1, Lagos.","3","4","07039850635","[object Object]","[object Object]","98,3012,97"
"305","Eyemasters Limited - LEKKI 1","","35 Freedom way by Ikate Lekki Phase I, Lagos","3","4","08147201169, 08136832251,08147201169","[object Object]","[object Object]","97,3012,98"
"306","Hephzibah Eye Care-LEKKI","","32, Admiralty Way, Opposite First Bank, Lekki Phase 1, Lekki","3","4","08172082410,","[object Object]","[object Object]","98,3012,97"
"307","Phoenix Eye Clinic Ltd - Lekki","","Scapular Plaza, KM 17, Lekki-Epe Expressway (Igbo-Efon Bus stop), Lekki, Lagos","3","4","07035531803, 08124547418, 08032833016","[object Object]","[object Object]","97,3012,98"
"308","Phoenix Eye Clinic Ltd - Sangotedo","","Dimraj Complex, KM 47, Lekki-Epe Expressway (Farm Bus Stop), Sangotedo,Lekki, Lagos","3","4","08105934441, 09023656788","[object Object]","[object Object]","98,3012,97"
"310","Dupsnl Vision Eye Clinic","","No 14, Toyin Street, Ikeja, Lagos","3","4","09082969021, 08102441288","[object Object]","[object Object]","97,3012,98"
"311","Enny Eyecare- Ikeja","","Suite 3-4, Amethyst Block, All Seasons Plaza, Ikeja, Lagos","3","4","07011876992, 08023182870","[object Object]","[object Object]","98,3012,97"
"313","Focus Eye Centre","","Plot 319, Odusami Street, behind Excellence Hotel, Ogba.","3","4","07041430208","[object Object]","[object Object]","97,3012,98"
"314","Mega Vision Eye Clinic - Ikeja","","15, Allen Avenue, Ikeja","3","4","08023132290","[object Object]","[object Object]","98,3012,97"
"316","Visionnex Specialist Clinic Ltd","Ikeja","Suit 308, Meros Plaza, Plot 781B, Sommide Odujiran Avenue, Omole Phase 2, Lagos.","3","4","08035785306","[object Object]","[object Object]","97,3012,98"
